#Data tag : 24v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(1e30/cm2s),recorded(1e30/cm2s),avgpu,source
379420:9518,36:36,04/14/24 23:02:08,STABLE BEAMS,6800,6126.293123463,5960.798822569,36.4,PLTZERO
379420:9518,37:37,04/14/24 23:02:32,STABLE BEAMS,6800,6120.921363936,2727.628028552,36.3,PLTZERO
379420:9518,38:38,04/14/24 23:02:55,STABLE BEAMS,6800,3211.068495349,565.654768436,36.3,PLTZERO
379420:9518,39:39,04/14/24 23:03:18,STABLE BEAMS,6800,129.788593593,128.975578422,0.3,PLTZERO
379420:9518,40:40,04/14/24 23:03:42,STABLE BEAMS,6800,640.623094911,615.693367748,1.7,PLTZERO
379420:9518,41:41,04/14/24 23:04:05,STABLE BEAMS,6800,1856.227685961,1821.834816536,6.6,PLTZERO
379420:9518,42:42,04/14/24 23:04:28,STABLE BEAMS,6800,4262.158063233,4160.992582237,17.0,PLTZERO
379420:9518,43:43,04/14/24 23:04:52,STABLE BEAMS,6800,5853.235657760,5694.481332119,32.3,PLTZERO
379420:9518,44:44,04/14/24 23:05:15,STABLE BEAMS,6800,5157.598639259,5027.650936348,35.8,PLTZERO
379420:9518,45:45,04/14/24 23:05:38,STABLE BEAMS,6800,3073.131265425,3006.742576685,24.0,PLTZERO
379420:9518,46:46,04/14/24 23:06:01,STABLE BEAMS,6800,1087.216265255,1066.820933634,12.3,PLTZERO
379420:9518,47:47,04/14/24 23:06:25,STABLE BEAMS,6800,323.358554788,319.187761398,3.1,PLTZERO
379420:9518,48:48,04/14/24 23:06:48,STABLE BEAMS,6800,724.239902422,709.886883738,1.0,PLTZERO
379420:9518,49:49,04/14/24 23:07:11,STABLE BEAMS,6800,2883.733585669,2805.979277085,35.9,PLTZERO
379420:9518,50:50,04/14/24 23:07:35,STABLE BEAMS,6800,431.998904597,426.564975993,1.4,PLTZERO
379420:9518,51:51,04/14/24 23:07:58,STABLE BEAMS,6800,1149.991553233,1130.240413141,5.0,PLTZERO
379420:9518,52:52,04/14/24 23:08:21,STABLE BEAMS,6800,2612.289693893,2560.867325334,9.1,PLTZERO
379420:9518,53:53,04/14/24 23:08:45,STABLE BEAMS,6800,4738.334627267,4625.415813470,24.2,PLTZERO
379420:9518,54:54,04/14/24 23:09:08,STABLE BEAMS,6800,5899.448622218,5744.605557293,32.0,PLTZERO
379420:9518,55:55,04/14/24 23:09:31,STABLE BEAMS,6800,5149.684314758,5020.642402120,34.1,PLTZERO
379420:9518,56:56,04/14/24 23:09:55,STABLE BEAMS,6800,3073.550959451,3006.222299297,27.7,PLTZERO
379420:9518,57:57,04/14/24 23:10:18,STABLE BEAMS,6800,1476.921309372,1449.167941842,11.7,PLTZERO
