L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,26327,1,26327,
Count,5.2,26913,1,26913,
Count,5.3,27004,1,27004,
Count,9.1,27027,1,27027,
Count,12.8,26972,1,26972,
Count,19.9,26899,1,26899,
Count,20.5,27040,1,27040,
Count,25.5,26794,1,26794,
Count,26,27006,1,27006,
Count,33.7,26805,1,26805,
Count,33.8,26708,1,26708,
Count,35.3,26746,1,26746,
Count,36.4,26788,1,26788,
Count,36.9,8935,1,8935,
Count,37,8990,1,8990,
Count,37.1,53549,1,53549,
Count,37.2,27016,1,27016,
Count,37.3,17810,1,17810,
Count,37.4,44789,1,44789,
Count,37.5,116099,1,116099,
Count,37.6,44816,1,44816,
Count,37.7,85090,1,85090,
Count,37.8,134244,1,134244,
Count,37.9,35764,1,35764,
Count,38,107409,1,107409,
Count,38.1,67789,1,67789,
Count,38.2,89480,1,89480,
Count,38.3,150254,1,150254,
Count,38.4,134270,1,134270,
Count,38.5,152188,1,152188,
Count,38.6,134282,1,134282,
Count,38.7,80442,1,80442,
Count,38.8,116273,1,116273,
Count,38.9,125176,1,125176,
Count,39,133773,1,133773,
Count,39.1,80634,1,80634,
Count,39.2,80541,1,80541,
Count,39.3,268525,1,268525,
Count,39.4,125281,1,125281,
Count,39.5,89405,1,89405,
Count,39.6,134064,1,134064,
Count,39.7,107143,1,107143,
Count,39.8,134224,1,134224,
Count,39.9,107417,1,107417,
Count,40,107409,1,107409,
Count,40.1,160718,1,160718,
Count,40.2,107394,1,107394,
Count,40.3,80430,1,80430,
Count,40.4,187881,1,187881,
Count,40.5,187992,1,187992,
Count,40.6,133660,1,133660,
Count,40.7,241887,1,241887,
Count,40.8,214725,1,214725,
Count,40.9,133950,1,133950,
Count,41,134102,1,134102,
Count,41.1,267784,1,267784,
Count,41.2,188008,1,188008,
Count,41.3,294403,1,294403,
Count,41.4,223555,1,223555,
Count,41.5,241025,1,241025,
Count,41.6,26809,1,26809,
Count,41.7,214824,1,214824,
Count,41.8,80470,1,80470,
Count,41.9,80388,1,80388,
Count,42.1,107389,1,107389,
Count,42.2,53605,1,53605,
Count,42.3,160414,1,160414,
Count,42.4,26345,1,26345,
Count,42.5,107250,1,107250,
Count,42.6,80587,1,80587,
Count,42.7,134049,1,134049,
Count,42.8,80368,1,80368,
Count,42.9,107368,1,107368,
Count,43,26882,1,26882,
Count,43.1,53137,1,53137,
Count,43.2,107197,1,107197,
Count,43.3,107152,1,107152,
Count,43.4,80358,1,80358,
Count,43.5,187630,1,187630,
Count,43.6,143161,1,143161,
Count,43.7,107103,1,107103,
Count,43.8,160451,1,160451,
Count,43.9,186782,1,186782,
Count,44,178642,1,178642,
Count,44.1,133585,1,133585,
Count,44.2,53536,1,53536,
Count,44.3,80528,1,80528,
Count,44.4,53515,1,53515,
Count,44.5,53616,1,53616,
Count,44.6,160868,1,160868,
Count,44.7,106861,1,106861,
Count,44.8,80492,1,80492,
Count,44.9,26766,1,26766,
Count,45,27058,1,27058,
Count,45.2,26867,1,26867,
Count,45.4,26823,1,26823,
Count,45.5,53475,1,53475,
Count,45.6,26739,1,26739,
Count,45.7,26474,1,26474,
Count,45.8,53643,1,53643,
L1APhysics,-1,26327,1,77,
L1APhysics,5.2,26913,1,22,
L1APhysics,5.3,27004,1,19,
L1APhysics,9.1,27027,1,19,
L1APhysics,12.8,26972,1,23,
L1APhysics,19.9,26899,1,42,
L1APhysics,20.5,27040,1,10,
L1APhysics,25.5,26794,1,54,
L1APhysics,26,27006,1,24,
L1APhysics,33.7,26805,1,60,
L1APhysics,33.8,26708,1,67,
L1APhysics,35.3,26746,1,85,
L1APhysics,36.4,26788,1,60,
L1APhysics,36.9,8935,1,26,
L1APhysics,37,8990,1,20,
L1APhysics,37.1,53549,1,130,
L1APhysics,37.2,27016,1,64,
L1APhysics,37.3,17810,1,26,
L1APhysics,37.4,44789,1,87,
L1APhysics,37.5,116099,1,211,
L1APhysics,37.6,44816,1,82,
L1APhysics,37.7,85090,1,173,
L1APhysics,37.8,134244,1,242,
L1APhysics,37.9,35764,1,73,
L1APhysics,38,107409,1,205,
L1APhysics,38.1,67789,1,130,
L1APhysics,38.2,89480,1,172,
L1APhysics,38.3,150254,1,287,
L1APhysics,38.4,134270,1,265,
L1APhysics,38.5,152188,1,310,
L1APhysics,38.6,134282,1,273,
L1APhysics,38.7,80442,1,191,
L1APhysics,38.8,116273,1,260,
L1APhysics,38.9,125176,1,292,
L1APhysics,39,133773,1,264,
L1APhysics,39.1,80634,1,146,
L1APhysics,39.2,80541,1,173,
L1APhysics,39.3,268525,1,598,
L1APhysics,39.4,125281,1,263,
L1APhysics,39.5,89405,1,169,
L1APhysics,39.6,134064,1,323,
L1APhysics,39.7,107143,1,219,
L1APhysics,39.8,134224,1,307,
L1APhysics,39.9,107417,1,217,
L1APhysics,40,107409,1,260,
L1APhysics,40.1,160718,1,348,
L1APhysics,40.2,107394,1,237,
L1APhysics,40.3,80430,1,169,
L1APhysics,40.4,187881,1,419,
L1APhysics,40.5,187992,1,388,
L1APhysics,40.6,133660,1,285,
L1APhysics,40.7,241887,1,531,
L1APhysics,40.8,214725,1,466,
L1APhysics,40.9,133950,1,297,
L1APhysics,41,134102,1,280,
L1APhysics,41.1,267784,1,609,
L1APhysics,41.2,188008,1,426,
L1APhysics,41.3,294403,1,645,
L1APhysics,41.4,223555,1,528,
L1APhysics,41.5,241025,1,528,
L1APhysics,41.6,26809,1,67,
L1APhysics,41.7,214824,1,461,
L1APhysics,41.8,80470,1,189,
L1APhysics,41.9,80388,1,190,
L1APhysics,42.1,107389,1,257,
L1APhysics,42.2,53605,1,121,
L1APhysics,42.3,160414,1,372,
L1APhysics,42.4,26345,1,55,
L1APhysics,42.5,107250,1,253,
L1APhysics,42.6,80587,1,161,
L1APhysics,42.7,134049,1,321,
L1APhysics,42.8,80368,1,194,
L1APhysics,42.9,107368,1,261,
L1APhysics,43,26882,1,55,
L1APhysics,43.1,53137,1,125,
L1APhysics,43.2,107197,1,242,
L1APhysics,43.3,107152,1,261,
L1APhysics,43.4,80358,1,200,
L1APhysics,43.5,187630,1,428,
L1APhysics,43.6,143161,1,339,
L1APhysics,43.7,107103,1,233,
L1APhysics,43.8,160451,1,388,
L1APhysics,43.9,186782,1,451,
L1APhysics,44,178642,1,421,
L1APhysics,44.1,133585,1,322,
L1APhysics,44.2,53536,1,121,
L1APhysics,44.3,80528,1,210,
L1APhysics,44.4,53515,1,133,
L1APhysics,44.5,53616,1,124,
L1APhysics,44.6,160868,1,426,
L1APhysics,44.7,106861,1,277,
L1APhysics,44.8,80492,1,210,
L1APhysics,44.9,26766,1,69,
L1APhysics,45,27058,1,18,
L1APhysics,45.2,26867,1,75,
L1APhysics,45.4,26823,1,68,
L1APhysics,45.5,53475,1,143,
L1APhysics,45.6,26739,1,75,
L1APhysics,45.7,26474,1,69,
L1APhysics,45.8,53643,1,118,
L1_AlwaysTrue,-1,26327,0,0,
L1_AlwaysTrue,5.2,26913,0,0,
L1_AlwaysTrue,5.3,27004,0,0,
L1_AlwaysTrue,9.1,27027,0,0,
L1_AlwaysTrue,12.8,26972,0,0,
L1_AlwaysTrue,19.9,26899,0,0,
L1_AlwaysTrue,20.5,27040,0,0,
L1_AlwaysTrue,25.5,26794,0,0,
L1_AlwaysTrue,26,27006,0,0,
L1_AlwaysTrue,33.7,26805,0,0,
L1_AlwaysTrue,33.8,26708,0,0,
L1_AlwaysTrue,35.3,26746,0,0,
L1_AlwaysTrue,36.4,26788,0,0,
L1_AlwaysTrue,36.9,8935,0,0,
L1_AlwaysTrue,37,8990,0,0,
L1_AlwaysTrue,37.1,53549,0,0,
L1_AlwaysTrue,37.2,27016,0,0,
L1_AlwaysTrue,37.3,17810,0,0,
L1_AlwaysTrue,37.4,44789,0,0,
L1_AlwaysTrue,37.5,116099,0,0,
L1_AlwaysTrue,37.6,44816,0,0,
L1_AlwaysTrue,37.7,85090,0,0,
L1_AlwaysTrue,37.8,134244,0,0,
L1_AlwaysTrue,37.9,35764,0,0,
L1_AlwaysTrue,38,107409,0,0,
L1_AlwaysTrue,38.1,67789,0,0,
L1_AlwaysTrue,38.2,89480,0,0,
L1_AlwaysTrue,38.3,150254,0,0,
L1_AlwaysTrue,38.4,134270,0,0,
L1_AlwaysTrue,38.5,152188,0,0,
L1_AlwaysTrue,38.6,134282,0,0,
L1_AlwaysTrue,38.7,80442,0,0,
L1_AlwaysTrue,38.8,116273,0,0,
L1_AlwaysTrue,38.9,125176,0,0,
L1_AlwaysTrue,39,133773,0,0,
L1_AlwaysTrue,39.1,80634,0,0,
L1_AlwaysTrue,39.2,80541,0,0,
L1_AlwaysTrue,39.3,268525,0,0,
L1_AlwaysTrue,39.4,125281,0,0,
L1_AlwaysTrue,39.5,89405,0,0,
L1_AlwaysTrue,39.6,134064,0,0,
L1_AlwaysTrue,39.7,107143,0,0,
L1_AlwaysTrue,39.8,134224,0,0,
